id|title|starring|writer|editor
23235|Adam's Apples|Ulrich Thomsen|Anders Thomas Jensen|
23236|The Park|Bobo Chan|Yiu Fai Lo Wah-Shum Lung|
23237|Virgin Territory|Mischa Anne Marsden Barton|Screenplay|
23238||Blaise Beckjord|Derek Westerlund|
23239||Norman Eugene Walker|Kikumaru Okuda|
23240|The Day of the Triffids|Janette Scott|Bernard Gordon|
23241|The Children Are Watching Us|Emilio Cigoli|Cesare Giulio Viola|
23242|God's Gun|Lee Van Cleef|Gianfranco Parolini|
23243|Kidnapped|James Gordon MacArthur|Robert Louis Stevenson|
23244||Madoka Sugawara|Wong Jing|
23245|The Comedy of Terrors|Vincent Leonard Price, Jr.|Richard Matheson|
23246|Adventures in Babysitting|Elisabeth Shue|David Simkins|
23247||Mohammed Rafique|Dominic Savage|
23248|Phantasm IV: Oblivion|Bob Ivy|Don Coscarelli Jr.|
23249||Shunji Igarashi||
23250||Trisha Krishnamurthy|Dharani (director)|
23251|Sesame Street presents Follow That Bird|Caroll Spinney|Tony Geiss|
23252|Uccellacci e uccellini|Femi Benussi|Pier Paolo Pasolini|
23253||Mumtaz Begum Jehan Dehlavi||
23254|Four Brothers|Terrence Dashon Howard|Paul Lovett|
23255||Kamal Haasan||
23256|Serial (film)|George J. Lewis|Sol Shor|
23257|Pathways of Life|Frank Spottiswoode Aitken||
23258|The Dresser|Eileen June Atkins|Ronald Harwood|
23259||Hema Malini|Kailash Advani|
23260|Brain Blockers|Timmi Cragg|Patrick Braithwaite|
23261||Ye Ye|P Moe Nin|
23262||Edward Ernest Reinhold Jr.|Richard Marcus|
23263||Charles Kemper|W.R. Burnett|
23264|The Autobiography of a 'Jeep'|||
23265|Grandma's Boy|Shirley Mae Jones|Barry Wernick|
23266|Year of the Dog|Molly Helen Shannon|Michael Christopher White|
23267||David Gulpilil|Philippe Mora|
23268||Susan Hogan (actor)|Kelly Rebar|
23269|Roped|Henry DeWitt Carey II|Eugene B. Lewis|
23270|The Sentimental Bloke|Lottie Lyell|C.J. Dennis|
23271||Victor Sj?str?m|Victor Sj?str?m|
23272|Centennial Summer|Jeanne Elizabeth Crain|Michael Kanin|
23273||Mantan Moreland||
23274||Joan de Beauvoir de Havilland|Larry Marcus   Lou Schor|
23275|Dil Ne Jise Apna Kahaa|Salman Khan|Atul Agnihotri|
23276|Blankman|David Alan Grier|Kyle Wayans|
23277||Hung Kam-Bo|Huang Feng|
23278||Charles Boyer|Claude Anet|
23279||Mamta Mohandas|Parchuri Brothers|
23280||Kamal Haasan||
23281|Flodder in Amerika|Rene van 't Hof||
23282||Goldie Jean Studlendgehawn|Terence Frisby|
23283|The Life of Oharu|Ichir? Sugai|Yoshikata Yoda|
23284|Nattevagten|Nikolaj Coster Waldau|Ole Bornedal|
23285|Lonesome Luke on Tin Can Alley|Harold Lloyd||
23286||Willy Fritsch|Robert Liebmann|
23287||Parvin Dabas|Jaideep Sahni|
23288|Tomorrow is Today|Mark Hefti|Frederic Lumiere|
23289|Golf|Oliver Hardy|Tom Buckingham Larry Semon|
23290||Laura Augusta Gainor|Edwin J. Burke  Gertrude Page|
23291||Henry Polic II|Barry Blitzer|
23292|Edge of Darkness|Clara Lou Sheridan|William Woods|
23293||Vineeth|Kanan Ayar|
23294|Stuff Stephanie in the Incinerator|Catherine Dee William Dame M.R. Murphy Dennis Cunningham Paul Nielsen Andy Milk|Don Nardo Peter Jones|
23295|The Hired Hand|Verna Bloom|Alan Sharp|
23296||Kyle Martin Chandler|David L. Corley|
23297|To Have and Have Not|Betty Joan Perske|Ernest Hemingway|
23298|Once Upon A Christmas|Kathy Ireland|Steven H. Berman|
23299|Moby Dick|Leo Genn|John Marcellus Huston|
23300|Gun Law|Pete Morrison|H. Tipton Steck|
23301|One Crazy Summer|Curtis Armstrong|Savage Steve Holland|
23302||Ryu Seung-beom|Han Jeong-hyeop|
23303||Val Edward Kilmer|Sean Stanek|
23304||Sean Patrick Duke|Frances Walsh|
23305|Le Roi de Cu0153ur|Alan Arthur Bates|Maurice Bessy|
23306||Susan Clark|Herman Miller|
23307||Konidala Kalyan|Trivikram Srinivas|
23308|Royal Wedding|Frederick Austerlitz Jr.|Alan Jay Lerner|
23309|Eddie|Caryn Elaine Johnson|David Loucka|
23310|Battle Royale II: Requiem|Shugo Oshinari|Koushun Takami|
23311||Christine Cecilia McIntyre||
23312|A Guy Named Joe|Spencer Bonaventure Tracy|Dalton Trumbo|
23313||Pamela Tola|Pekko Pesonen|
23314|The Adventures of Elmo in Grouchland|Jerry Nelson|Mitchell Kriegman|
23315|And God Created Woman|Donovan Leitch, Jr.|R. J. Stewart|
23316|Jury Prize (Cannes Film Festival)|Maria Moreno|V?ctor Erice|
23317||Babette Valerie Louise Hobson|Cecil McGivern|
23318||Sarika||
23319|Secondlu00F8itnanten|Espen Skj?nberg|Hans Petter Moland|Einar Egeland
23320||Alex Fong Chung-Sun||
23321||John Joseph Nicholson|Terry Southern|
23322|The Old Maid|Ruth Elizabeth Davis|Casey Robinson|
23323|Coffee and Cigarettes|Iggy Pop|James R. Jarmusch|
23324|Rukaju00E4rven tie|Kari Heiskanen|Olli Saarela|
23325|Palme d'Or|Catherine Fabienne Dorlu00E9ac|Jacques Demy|
23326|The Shootist|James Stewart (actor)|Scott Hale|
23327||Christopher McDonald|Frank De Palma|
23328||Akira Emoto|Akiko Itoyama|
23329|Church Ball|Clint Howard|Kurt Hale|
23330||Symona Boniface||
23331||Edward Arnold|Vina Delmar|
23332||Wesley Jonathan Waples|Melvin Van Peebles|
23333||David Gahan|Depeche Mode|
23334|Back to the Future: Part III|Mary Steenburgen|Bob Gale|
23335|A Scrap of Paper|Roscoe Arbuckle||
23336|Runaway Bride|Julie Fiona Roberts|Josann McGibbon|
23337|The Egyptian|Jean Merilyn Simmons|Mika Waltari|
23338||Charles Dennis Buchinsky|Frank D. Gilroy|
23339|Sirivennela|Samyukta|K. Viswanath|
23340|Barry Lyndon|Marisa Berenson|Stanley Kubrick|
23341||Joanna Canton|David Breckman|
23342|Beautiful Thing|Scott Neal|Jonathan Harvey|
23343|Il Sorpasso|Claudio Gora|Ettore Scola|
23344|Amici per la pelle||Leonardo Benvenuti|
23345||Gita Siddharth|Balraj Deepak Vij|
23346|Donald in Mathmagic Land|Clarence Nash|Heinz Haber|
23347|Johnny Apollo|Tyrone Edmund Power, Jr.|Curtis Kenyon|
23348|Dreamcatcher|Donald Edmond Wahlberg|William Goldman|
23349|Flips and Flops|Oliver Hardy|Gilbert Pratt|
23350|The Creeping Terror|William Thourlby|Robert Silliphant|
23351||Peter Baldwin|Richard Alan Simmons|
23352|||Fernando Trueba|
23353|You So Crazy|Martin Lawrence|Martin Lawrence|
23354|I Love Trouble|Saul Rubinek|Charles Shyer|
23355||Dan Cashman Bruce Cornwell Dennis Howard|Marty Poole Shim Hyung-rae|
23356|The Blues Brothers|Daniel Edward Aykroyd|Daniel Edward Aykroyd|
23357||Rose Judith Esther Byrne|Danny Green (director|
23358|Snow Falling on Cedars|Ethan Green Hawke|David Guterson|
23359|Crest of Betrayal||Kinji Fukasaku|
23360||Perla Alvarado|Carlos A. Petit|
23361||Richard Samuel Attenborough|Erik Lee Preminger|
23362||James Stewart (actor)||
23363|Hold Back the Dawn|Marion Pauline Levy|Charles Brackett|
23364|The Usual Suspects|Kevin Pollak|Christopher McQuarrie|
23365|BAFTA Award for Best Film|Edith Margaret Emily Ashcroft|David Sherwin|
23366||Erik Paaske|Bille August|
23367|The Beverly Hillbillies|Cloris Leachman|Jim Staahl|
23368|On a Tightrope|||Petr Lom
23369|Humko Deewana Kar Gaye|Bipasha Basu|Raj Kanwar|
23370|Love|Roscoe Arbuckle|Roscoe Arbuckle|
23371|Fatal Attraction|Michael Kirk Douglas|James Dearden|
23372|The Sword and the Sorcerer|Lee Arthur Horsley|John V. Stuckmeyer|
23373||Pongsak Pongsuwan|Punlop Sinjaroen|
23374|One Missed Call|Edward Burns|Andrew Klavan|
23375|Zamok|Nikolay Stotsky|Franz Kafka|
23376|Columbia Pictures|||
23377||Joseph Vijay Chandrasekhar||
23378||Bob Rock||
23379|The Sweetest Thing|Christina Applegate|Nancy Pimental|
23380|The Cockleshell Heroes|Josu00E9 Vicente Ferrer de Otero y Cintru00F3n|Richard Maibaum|
23381|God Tussi Great Ho|Salman Khan|Rumi Jaffery|
23382|Darby O'Gill and the Little People|Thomas Sean Connery|H. T. Kavanagh|
23383|Triloquist|Rocky Marquette|Mark Jones (screenwriter)|
23384|Aces: Iron Eagle III|Rachel McLish|Kevin Elders Sidney J. Furie|
23385||Kristy Swanson|Aaron Latham|
23386|Untamed|Robert Montgomery|Sylvia Thalberg|
23387|Ben Hur||Abi Estrin|
23388|O Garimpeiro||Vittorio Capellaro|
23389|Ecstasy|Zvonimir Rogoz|V?t?zslav Nezval|
23390|Mantrap|Eugene Pallette|Ethel Doherty|
23391|The Magnificent Seven|Eli Wallach|William Roberts (screenwriter)|
23392|Title|Tom Arnold||
23393||Vinod Mehra||
23394||James Robert Sadler|Henry Blyth|
23395|The Wild Parrots of Telegraph Hill|Mark Bittner||
23396|Weird Science|Ilan Mitchell-Smith|John Hughes (film director)|
23397||Kamal Haasan||
23398|Mr. Brooks|Dane Cook|Raynold Gideon|
23399|The Sandlot 2|Todd Jones|David M. Evans|
23400||Joe Strummer||
23401|Public Enemies|Alyssa Jayne Milano|C. Courtney Joyner|
23402||Chandrashekar||
23403||Ray Collins (actor)|Frank Tashlin|
23404|The Edge of the World|John Laurie|Michael Powell|
23405|Nico and Dani|Fernando Ramallo|Tom?s Aragay|
23406||Vittorio De Sica|Mario Camerini|
23407|The Emperor Jones|Dudley Digges||
23408||Gastone Moschin|Fernando Di Leo|
23409||Joan Gardner|Lajos Biro|
23410||Jo Jae-hyeon|Jang Min-seok|
23411|Catlow|Daliah Lewinbuk|Louis L'Amour|
23412|Gaman|Vishwanath Patekar|Hriday Lani|
23413||Catherine Mouchet|Camille de Casabianca|
23414|Sparsh|Sudha Chopra|Sai Paranjpye|
23415|Earth Angel|Cathy Podewell||
23416|Chicken Little|Zach Braff|Ron J. Friedman|
23417|Bigfoot|John Mitchum|Robert F. Slatzer|
23418||Riki Takeuchi|Buronson, Toshiyuki Morioka|
23419|The Pursuit of D. B. Cooper|Treat Williams|J.D. Reed (book) Jeffrey Alan Fiskin (screenplay)|
23420|Biker Boyz|Lisa Michelle Bonet|Craig Fernandez|
23421||Delia Garces|Alberto De Zavalia|
23422|Irma Vep|Jean-Pierre L?aud|Olivier Assayas|
23423|The Prestige|Michael Caine|Jonathan Nolan|
23424||Roger George Moore|Jack Davies|
23425|Gotcha!|Linda Fiorentino|Dan Gordon (screenwriter)|
23426||Snoop Dogg|John Singleton|
23427|Namkeen|Sharmila Tagore||
23428|Rookie of the Year|Thomas Ian Nicholas|Sam Harper|
23429||Emily Olivia L. Blunt|Julian Alexander Fellowes|
23430||Several Icelandic bands||
23431||Nina Hoss|Corinne Hofmann|
23432||Rehan (actor)|Naseem Rizwani|
23433|Mud and Sand|Arthur Stanley Jefferson|Tom Miranda|
23434|Dream On!|Philip Baker Hall|Ed Harker|
23435||David Warner|Harry Alan Towers|
23436|Dead & Breakfast|Bianca Jasmine Lawson|Billy Burke|
23437||Hatty Jones|Ludwig Bemelmans|
23438||Tilly Scott Pedersen|Rune Schj?tt|
23439|The Christmas Kid|Henry Herman McKinnies Jr.|Jim Henaghan Rodrigo Rivero Balestia|
23440||Lesley Manville|Joseph Lang|
23441||Edith Williams|Leo Mittler (story) Donald Henderson Clarke|
23442|Visas and Virtue|Christopher Inadomi Tashima|Tim Toyama|
23443|The Mole People|Cynthia Patrick|L?szl? G?r?g|
23444||Lewis Frederick Ayre III|Paul Green|
23445|Casa de los Babys|Daryl Christine Hannah|John Sayles|
23446||Nastassja Aglaia Nakszyu0144ski|Neil LaBute|
23447|Lucie Carrasco - Une histoire d'hommes|Jean-Marie Bigard  Franck Dubosc   Christophe Alu00E9vu00EAque  Bruno Gaccio   Ticky Holgado   Bruno Salomone   Michel Bernini  Patrick Bosso  Lucie Carrasco   Steeve Clairicia  Gilles Gangloff   Philippe Leliu00E8vre   Jean-Luc Lemoine   Su00F6ren Pru00E9vost   Fred Testot|Farid Dms Debah|
23448|Hogan's Romance Upset|Charles Murray (actor)||
23449|Waking Ned|Ian Bannen|Kirk Jones|
23450|Plymouth Adventure|Leo Genn|Helen Deutsch|
23451||Rodney Sturt Taylor|Ranald MacDougall|
23452|The Next Best Thing|Madonna (entertainer)|Tom Ropelewski|
23453||Urvasi||
23454||Frank Sudol|Frank Sudol|
23455|BAFTA Award for Best Film|Julian Sands|Ruth Prawer Jhabvala|
23456|Scrooge|Michael Dolan (Irish actor)|Noel Langley|
23457||John Anthony Golenor Pablos|Eleanore Griffin|
23458|Sexy Beast|Krishna Bhanji|David Scinto|
23459||Various|Reginald Hudlin|
23460||Ndrek Luca|Dhimit?r Xhuvani|
23461||Premnath|Kaushal Bharti|
23462|I Take This Woman|Jane Alice Peters|Vincent Lawrence|
23463||Michael Medwin|Larry Parnes|
23464|Hot Rod|Jorma Taccone|Pam Brady|
23465|Come te nessuno mai|Silvio Muccino|Silvio Muccino|
23466|More American Graffiti|Cynthia Jane Williams|Bill L. Norton|
23467|The Million Dollar Hotel|Amanda Michael Plummer||
23468|Seven Men From Now|Lee Marvin|Burt Kennedy|
23469|Sweet 16|Dana Kimmell|Erwin Goldman|
23470||Sohail Khan|Ahmed Khan|
23471||Georgi Vitsin|William Shakespeare|
23472|The Mistake|Sarah Blanche Sweet|Corinne Anita Loos|
23473|Absence of Malice|Lutha Adler|Kurt Luedtke|
23474|Forces Of Nature|Sandra Annette Bullock|Marc Lawrence|
23475|All for the Winner|Stephen Chow|Ng See-Yuen|
23476||Philip St. John Basil Rathbone|Arthur Conan Doyle|
23477|Perfect Stranger|Walter Bruce Willis|Story|
23478|Batman: Dead End|Clark Bartram|Sandy Collora|
23479|Historias mu00EDnimas|Javier Lombardo Antonio Benedicti Javiera Bravo|Pablo Solarz|
23480|Hype!|Numerous musicians||
23481|Karin's Face|Karin Bergman|Ernst Ingmar Bergman|
23482|The Keys to the House|Pierfrancesco Favino|Giuseppe Pontiggia|
23483||Frankie Sakai|Takeshi Kimura|
23484|New Dragon Gate Inn|Tony Leung Ka-Fai|Tsui Hark|
23485|Primal Fear|Alfre Ette Woodard|William Diehl|
23486|The Californians|Illeana Hesselberg|Henry James|
23487|Flightplan|Alicia Christian Foster|Billy Ray (screenwriter)|
23488||Sandara Park||
23489|Sexy Sluts: Been There, Done That||Necro|
23490|Soul Plane|Snoop Dogg|Babygrande Records|
23491|Let's Talk|Anahita Oberoi|Ram Madhavani|
23492||Sylva Koscina|David D. Osborn|
23493||Stephen McNally|Jerry Sackheim|
23494||Gloria May Josephine Swanson|Erich Oswald Stroheim|
23495|To Klama vgike apo ton paradeiso|Anna Panayiotopoulou|Thanasis Papathanasiou   Michalis Reppas|
23496|A Day at the Races|Chico Marx||
23497||Joe Estevez|Scott Shaw   Donald G. Jackson|
23498||Daddy Yankee, Yo-Seph|George Rivera u00C1ngel M. Sanjurjo Edgar Soberu00F3n Torchia|
23499||Hossein Haijar|Seyed Mehdi Shojai|
23500|Boys Will Be Boys|Jimmy Hanley||
23501|Shadows of Atticus|Jason London|Doug Delaney|
23502|The Heart of a Bandit|Henry DeWitt Carey II||
23503|Solitaire|Jason Bryant Acuu00F1a|Frank D'Agostino|
23504||Sadhana Shivdasani||
23505|Jesus Christ Superstar|Yvonne Elliman|Melvyn Bragg|
23506|Leo the Lion: King of the Jungle||George Arthur Bloom|
23507||Mel Blanc|John W. Dunn|
23508|The Dead|Dan O'Herlihy|Tony Huston|
23509|Hard Ticket to Hawaii|Ronn Moss|Andy Sidaris|
23510||Kelly Macdonald|Raymond De Felitta|
23511|The Shoes of the Fisherman|Arthur John Gielgud|Morris West|
23512|Ab-normal Beauty|Race Wong|Oxide Pang|
23513|Travellers and Magicians|Lhakpa Dorji|Khyentse Norbu|
23514|Jealous James|Jerold T. Hevener|E.W. Sargent|
23515|Lawnmower Man 2: Beyond Cyberspace|Camille Cooper|Farhad Mann|
23516|Puppet Master III: Toulon's Revenge|Guy Rolfe|David Schmoeller|
23517||Jennifer Tarrazi-Scully||
23518|Idioterne|Knud Romer J?rgensen|Lars von Trier|
23519||Nancy Guild|Dorothy Bennett|
23520||Mike Nawrocki|Mike Nawrocki|
23521|Capturing Bad Bill|Eldon Raymond McKee|E.W. Sargent|
23522||Tony Randall|Jack Seddon|
23523||Kevin Alexander Stea|Bruce Vilanch|
23524|||Marcia Smith|
23525||Buster Keaton|C.W Bell (play)/Mark Swan (play)|
23526|Dance Craze|Buster Bloodvessel||
23527|The Browning Version|Julian Sands|Ronald Harwood|
23528||Andoy Ranay Pablo Gabriel|Crisaldo Pablo|
23529|Benny's Video|Angela Winkler|Michael Haneke|
23530||John Doman|Scott Schafer|
23531|Creature from the Haunted Sea|Antony Carbone|Charles B. Griffith|
23532|In the Park|Edna Purviance|Charlie Chaplin|
23533|The Manitou|Stella Stevens|G. Masterson (novel) Thomas Pope William Girdler|
23534||Katharine Edwina Gibbs|E. W. Hornung|
23535||Padmini|K. A. Abbas|
23536|Shadow Puppets|Jolene Blalock||
23537|The Love Nest|Joseph Frank Keaton VI|Joseph Frank Keaton VI|
23538||Namitha|Shakti Chidambaram|
23539|Mr. & Mrs. Smith|Jane Alice Peters|Norman Krasna|
23540|The Land Before Time VI: The Secret of Saurus Rock|Miriam Flynn|John Loy|
23541|Stormy Weather|Lena Horne|H.S. Kraft|
23542||Margaret Brooke Sullavan|Felix Jackson|
23543||Valentin Merlet||
23544||Mari?n Aguilera|Teresa Pelegri|
23545|Xiao xia Chu Liu Xiang (Legend of the Liquid Sword)|Norman Chu||
23546||KRU||
23547||Louis Feinberg||
23548||Viggo Peter Mortensen Jr.|Sean Penn|
23549|The Brotherhood||Barry L. Levy, Matthew Jason Walsh|
23550|Johnny Belinda|Lewis Frederick Ayre III|Allen Vincent|
23551|Round Midnight|Gabrielle Haker|Colo Tavernier|
23552||Pran||
23553|Couleur Chair (Flesh Color)|Roger Blin|Fran?ois Weyergans|
23554||Mirzaagha Ali oghlu Aliyev|Uzeyir Hajibeyov|
23555|A Bug's Life|Bonnie Lynn Hunt|Bob Shaw (screenwriter)|
23556|Aconcagua|Enrique Kossi|Norberto Aroldi|
23557|Miracle on 34th Street|Natalia Nikolaevna Zakharenko|Valentine Davies|
23558|Una Questione d'onore|Leopoldo Triste|Piero De Bernardi|
23559|A Flirt's Mistake|Roscoe Arbuckle||
23560|The Pirate Movie|Christina Ann McNichol|W. S. Gilbert|
23561||Raj Khosla||
23562||Harihar Jariwala|R. S. Mani|
23563||Robert H. Harris|Aben Kandel|
23564||Naomi Tani|Yu014Dzu014D Tanaka|
23565|Daun di Atas Bantal|Deni Christanta|Garin Nugroho Riyanto|
23566|The Conformist|Jean-Louis Trintignant|Alberto Moravia|
23567|||David Obst|
23568||Robert William Hoskins|James D. Parriott|
23569||Kamal Haasan||
23570||Philip John Clapp|John O'Brien Jonathan L. Davis|
23571|Mystery, Alaska|Colm J. Meaney|David E. Kelley|
23572|The Song Remains the Same|Jimmy Page||
23573||Aldo Giuffr?|Pasquale Festa Campanile|
23574|scene|Joseph Frank Keaton VI|Joseph Anthony Roach|
23575||Tia Dashon Mowry||
23576|||Olivier Meyrou|
23577||Dina Meyer|Miguel Tejada-Flores (screenplay) and Tom Berry (story)|
23578||Stanley Holloway|Richard Llewellyn|
23579||Louise Cardoso|J?lio Bressane|
23580|Joy Division|Michelle Gayle||
23581|Fatty's Plucky Pup|Roscoe Arbuckle||
23582||John Hall (New York)||
23583|Big Fat Liar|Francisco James Muu00F1iz IV|Dan Schneider (TV producer)|
23584||David Selby||
23585|Mr. Holland's Opus|Jay Thomas|Patrick Sheane Duncan|
23586|Good Luck Chuck|Daniel Kevin Fogler|Josh Stolberg|
23587|Slayers Gorgeous|Shigeyo Kawamura|Hajime Kanzaka|
23588||Eric Marlon Bishop|Eric Marlon Bishop|
23589|Smash Palace|Anna Maria Monticelli|Roger Donaldson|
23590|Windtalkers|Nicholas Cage|John Rice (director)|
23591|O|Ramu00F3n Gerardo Antonio Estu00E9vez|William Shakespeare|
23592|Haseena Maan Jaayegi|Pooja Batra||
23593||Sivaji Rao Gaekwad||
23594|Clean, Shaven|Peter Greene|Lodge Kerrigan|
23595|Broken Arrow|James Stewart (actor)|Elliott Arnold|
23596||Snoop Dogg|Jonathan McHugh|
23597|The White Silk Dress|Nguy?n Qu?c Kh?nh|Luu Huynh|
23598||Jeevan (actor)||
23599||Helena Bonham Carter|Gregory David Roberts|
23600||Katie Stuart|Chris Black|
23601||Kylie Minogue|Dave Warner|
23602||Ann Todd|David Lean|
23603|Paths of Glory|Adolphe Jean Menjou|Calder Willingham|
23604|The Starfighters|Richard Jordahl|Will Zens|
23605|The Return of the Musketeers|Oliver Reed|Alexandre Dumas, p?re|
23606||Ari Vatanen||
23607|Dor|Uttara Bhavkar|Nagesh Kukunoor|
23608|Wes Craven's Chiller|Laura Johnson|J.D. Feigelson|
23609|Oh... Rosalinda!!|Anthony Quayle|Michael Powell Emeric Pressburger|
23610|Bright Young Things|Daniel Edward Aykroyd|Stephen John Fry|
23611|Poultrygeist|Ron Jeremy Hyatt|Daniel Bova|
23612|The Bloody Fists|Kuan Tai Chen|See-Yuen Ng|
23613||Margaret Cho||
23614|Bad Boys|Clarence J. Brown III|Richard Di Lello|
23615|Entrapment|Will Patton|William Broyles Jr.|
23616|His Jonah Day|Oliver Hardy|Jess Robbins|
23617||Norma West|Federico Fellini|
23618|Demonicus|Allen Nabors|Tim Sullivan (filmmaker)|
23619|Ik omhels je met 1000 armen|Halina Reijn|Ronald Giphart|
23620||Park Hae-il|Park Heung-shik|
23621||Jos? Gola|Manuel Romero|
23622|The Set-Up|Robert Bushnell Ryan|Joseph Moncure March|
23623||Angela Mao|Michael Allin|
23624||James Jonah Cummings|Barbara Slade|
23625|Serial (film)|Nelson Leigh|David Mathews (writer)|
23626|Alone in the Dark II|Jason Connery|Peter Scheerer|
23627||Judith Olivia Dench|Tim Sullivan|
23628|Broken Lance|Robert John Wagner|Philip Yordan|
23629||Jesse Bradford Watrouse|Amy Fox|
23630|The Utopian Society|Sam Doumit|Jason Preston|
23631|Star Spangled Rhythm||George S. Kaufman|
23632|Simon Birch|Oliver James Platt|Mark Steven Johnson|
23633||Gerald Mohr|James Warner Bellah|
23634||Ewan McGregor|George Lucas|
23635|Shaadi No. 1|Esha Deol||
23636|The Untouchables|Billy Eugene Burrows|David Mamet|
